html_url_repository,login,id,node_id,avatar_url,gravatar_id,url,html_url,followers_url,following_url,gists_url,starred_url,subscriptions_url,organizations_url,repos_url,events_url,received_events_url,type,site_admin,contributions
https://github.com/stan-dev/monostan,patricksnape,708474,MDQ6VXNlcjcwODQ3NA==,https://avatars.githubusercontent.com/u/708474?v=4,,https://api.github.com/users/patricksnape,https://github.com/patricksnape,https://api.github.com/users/patricksnape/followers,https://api.github.com/users/patricksnape/following{/other_user},https://api.github.com/users/patricksnape/gists{/gist_id},https://api.github.com/users/patricksnape/starred{/owner}{/repo},https://api.github.com/users/patricksnape/subscriptions,https://api.github.com/users/patricksnape/orgs,https://api.github.com/users/patricksnape/repos,https://api.github.com/users/patricksnape/events{/privacy},https://api.github.com/users/patricksnape/received_events,User,False,1
https://github.com/stan-dev/monostan,UnkindPartition,24844,MDQ6VXNlcjI0ODQ0,https://avatars.githubusercontent.com/u/24844?v=4,,https://api.github.com/users/UnkindPartition,https://github.com/UnkindPartition,https://api.github.com/users/UnkindPartition/followers,https://api.github.com/users/UnkindPartition/following{/other_user},https://api.github.com/users/UnkindPartition/gists{/gist_id},https://api.github.com/users/UnkindPartition/starred{/owner}{/repo},https://api.github.com/users/UnkindPartition/subscriptions,https://api.github.com/users/UnkindPartition/orgs,https://api.github.com/users/UnkindPartition/repos,https://api.github.com/users/UnkindPartition/events{/privacy},https://api.github.com/users/UnkindPartition/received_events,User,False,1
https://github.com/stan-dev/monostan,tjmahr,1890315,MDQ6VXNlcjE4OTAzMTU=,https://avatars.githubusercontent.com/u/1890315?v=4,,https://api.github.com/users/tjmahr,https://github.com/tjmahr,https://api.github.com/users/tjmahr/followers,https://api.github.com/users/tjmahr/following{/other_user},https://api.github.com/users/tjmahr/gists{/gist_id},https://api.github.com/users/tjmahr/starred{/owner}{/repo},https://api.github.com/users/tjmahr/subscriptions,https://api.github.com/users/tjmahr/orgs,https://api.github.com/users/tjmahr/repos,https://api.github.com/users/tjmahr/events{/privacy},https://api.github.com/users/tjmahr/received_events,User,False,1
https://github.com/stan-dev/monostan,TobiasMadsen,6069166,MDQ6VXNlcjYwNjkxNjY=,https://avatars.githubusercontent.com/u/6069166?v=4,,https://api.github.com/users/TobiasMadsen,https://github.com/TobiasMadsen,https://api.github.com/users/TobiasMadsen/followers,https://api.github.com/users/TobiasMadsen/following{/other_user},https://api.github.com/users/TobiasMadsen/gists{/gist_id},https://api.github.com/users/TobiasMadsen/starred{/owner}{/repo},https://api.github.com/users/TobiasMadsen/subscriptions,https://api.github.com/users/TobiasMadsen/orgs,https://api.github.com/users/TobiasMadsen/repos,https://api.github.com/users/TobiasMadsen/events{/privacy},https://api.github.com/users/TobiasMadsen/received_events,User,False,1
https://github.com/stan-dev/monostan,torsti,698941,MDQ6VXNlcjY5ODk0MQ==,https://avatars.githubusercontent.com/u/698941?v=4,,https://api.github.com/users/torsti,https://github.com/torsti,https://api.github.com/users/torsti/followers,https://api.github.com/users/torsti/following{/other_user},https://api.github.com/users/torsti/gists{/gist_id},https://api.github.com/users/torsti/starred{/owner}{/repo},https://api.github.com/users/torsti/subscriptions,https://api.github.com/users/torsti/orgs,https://api.github.com/users/torsti/repos,https://api.github.com/users/torsti/events{/privacy},https://api.github.com/users/torsti/received_events,User,False,1
https://github.com/stan-dev/monostan,dchudz,1222726,MDQ6VXNlcjEyMjI3MjY=,https://avatars.githubusercontent.com/u/1222726?v=4,,https://api.github.com/users/dchudz,https://github.com/dchudz,https://api.github.com/users/dchudz/followers,https://api.github.com/users/dchudz/following{/other_user},https://api.github.com/users/dchudz/gists{/gist_id},https://api.github.com/users/dchudz/starred{/owner}{/repo},https://api.github.com/users/dchudz/subscriptions,https://api.github.com/users/dchudz/orgs,https://api.github.com/users/dchudz/repos,https://api.github.com/users/dchudz/events{/privacy},https://api.github.com/users/dchudz/received_events,User,False,1
https://github.com/stan-dev/monostan,mbjoseph,2664564,MDQ6VXNlcjI2NjQ1NjQ=,https://avatars.githubusercontent.com/u/2664564?v=4,,https://api.github.com/users/mbjoseph,https://github.com/mbjoseph,https://api.github.com/users/mbjoseph/followers,https://api.github.com/users/mbjoseph/following{/other_user},https://api.github.com/users/mbjoseph/gists{/gist_id},https://api.github.com/users/mbjoseph/starred{/owner}{/repo},https://api.github.com/users/mbjoseph/subscriptions,https://api.github.com/users/mbjoseph/orgs,https://api.github.com/users/mbjoseph/repos,https://api.github.com/users/mbjoseph/events{/privacy},https://api.github.com/users/mbjoseph/received_events,User,False,1
https://github.com/stan-dev/monostan,nsfinkelstein,2919482,MDQ6VXNlcjI5MTk0ODI=,https://avatars.githubusercontent.com/u/2919482?v=4,,https://api.github.com/users/nsfinkelstein,https://github.com/nsfinkelstein,https://api.github.com/users/nsfinkelstein/followers,https://api.github.com/users/nsfinkelstein/following{/other_user},https://api.github.com/users/nsfinkelstein/gists{/gist_id},https://api.github.com/users/nsfinkelstein/starred{/owner}{/repo},https://api.github.com/users/nsfinkelstein/subscriptions,https://api.github.com/users/nsfinkelstein/orgs,https://api.github.com/users/nsfinkelstein/repos,https://api.github.com/users/nsfinkelstein/events{/privacy},https://api.github.com/users/nsfinkelstein/received_events,User,False,1
https://github.com/stan-dev/nomad,betanalpha,1527190,MDQ6VXNlcjE1MjcxOTA=,https://avatars.githubusercontent.com/u/1527190?v=4,,https://api.github.com/users/betanalpha,https://github.com/betanalpha,https://api.github.com/users/betanalpha/followers,https://api.github.com/users/betanalpha/following{/other_user},https://api.github.com/users/betanalpha/gists{/gist_id},https://api.github.com/users/betanalpha/starred{/owner}{/repo},https://api.github.com/users/betanalpha/subscriptions,https://api.github.com/users/betanalpha/orgs,https://api.github.com/users/betanalpha/repos,https://api.github.com/users/betanalpha/events{/privacy},https://api.github.com/users/betanalpha/received_events,User,False,88
https://github.com/stan-dev/perf-math,seantalts,805356,MDQ6VXNlcjgwNTM1Ng==,https://avatars.githubusercontent.com/u/805356?v=4,,https://api.github.com/users/seantalts,https://github.com/seantalts,https://api.github.com/users/seantalts/followers,https://api.github.com/users/seantalts/following{/other_user},https://api.github.com/users/seantalts/gists{/gist_id},https://api.github.com/users/seantalts/starred{/owner}{/repo},https://api.github.com/users/seantalts/subscriptions,https://api.github.com/users/seantalts/orgs,https://api.github.com/users/seantalts/repos,https://api.github.com/users/seantalts/events{/privacy},https://api.github.com/users/seantalts/received_events,User,False,34
