html_url,howfairis_repository,howfairis_license,howfairis_registry,howfairis_citation,howfairis_checklist,date
https://github.com/gbeckers/Darr,True,True,True,True,False,2022-08-13
https://github.com/kraaijenbrink/ERA5-Land-globe-animation,True,True,False,False,False,2022-08-13
https://github.com/asreview/template-extension-new-model,True,True,False,False,False,2022-08-13
https://github.com/ekatrukha/BigTrace,True,True,False,False,False,2022-08-13
https://github.com/gerb-ster/TH-555-VCO,True,False,False,False,False,2022-08-13
https://github.com/lukavdplas/pluto-notebooks,True,False,False,False,False,2022-08-13
https://github.com/stan-dev/gmo,True,True,False,False,False,2022-08-13
https://github.com/UU-ComputerScience/js-asteroids,True,False,False,False,False,2022-08-13
https://github.com/CLARIAH/qber,True,True,False,False,False,2022-08-13
https://github.com/CLARIAH/scholarly-web-annotation-server,True,False,False,False,False,2022-08-13
https://github.com/ekatrukha/DoM_Utrecht,True,True,False,True,False,2022-08-13
https://github.com/ellenhamaker/RI-CLPM,True,False,False,False,False,2022-08-13
https://github.com/FridoF/PyTom,True,True,False,False,False,2022-08-13
https://github.com/japhir/ArchConfigs,True,False,False,False,False,2022-08-13
https://github.com/UUDigitalHumanitieslab/texcavator,True,True,False,True,False,2022-08-13
https://github.com/ekatrukha/ComDet,True,True,False,True,False,2022-08-13
https://github.com/jhnienhuis/GlobalDeltaChange,True,True,False,False,False,2022-08-13
https://github.com/UU-Hydro/PCR-GLOBWB_input_example,True,False,False,False,False,2022-08-13
https://github.com/UUDigitalHumanitieslab/tei_reader,True,True,False,False,False,2022-08-13
https://github.com/asreview/asreview-artwork,True,True,False,False,False,2022-08-13
https://github.com/haddocking/BM5-clean,True,True,False,True,False,2022-08-13
https://github.com/jbikker/tmpl8,True,True,False,False,False,2022-08-13
https://github.com/JeroenDMulder/RI-CLPM,True,True,False,False,False,2022-08-13
https://github.com/plant-plasticity/Evolutionary-flexibility-in-flooding-response-2019,True,False,False,False,False,2022-08-13
https://github.com/sodascience/osmenrich,True,True,False,True,False,2022-08-13
https://github.com/stefanoschmidt1995/MLGW,True,False,False,False,False,2022-08-13
https://github.com/UtrechtUniversity/getOldTweets-Airflow,True,True,False,False,False,2022-08-13
https://github.com/UUDigitalHumanitieslab/handlebars-i18next,True,True,True,False,False,2022-08-13
https://github.com/CLARIAH/clariah-plus,True,False,False,False,False,2022-08-13
https://github.com/davidcortesortuno/oommfpy,True,True,False,True,False,2022-08-13
https://github.com/duyguislakoglu/awesome-graph-ml,True,False,False,False,False,2022-08-13
https://github.com/gerb-ster/Vulcan-DCO,True,False,False,False,False,2022-08-13
https://github.com/haddocking/HADDOCK-antibody-antigen,True,True,False,True,False,2022-08-13
https://github.com/mountainhydrology/pub_ngs-watertowers,True,True,False,False,False,2022-08-13
https://github.com/SanliFaez/Commons4Academics,True,True,False,False,False,2022-08-13
https://github.com/UtrechtUniversity/getting-started,True,True,False,False,False,2022-08-13
https://github.com/cjvanlissa/gitbook-demo,True,True,False,False,False,2022-08-13
https://github.com/CLARIAH/burgerLinker,True,True,False,False,False,2022-08-13
https://github.com/davidcortesortuno/conference_style,True,False,False,False,False,2022-08-13
https://github.com/duyguislakoglu/handwritten_notes,True,False,False,False,False,2022-08-13
https://github.com/emmekeaarts/mHMMbayes,True,False,False,False,False,2022-08-13
https://github.com/gerb-ster/Curtis-VC-ADSR,True,False,False,False,False,2022-08-13
https://github.com/gerb-ster/TH-566-VCO,True,False,False,False,False,2022-08-13
https://github.com/gerkovink/miceVignettes,True,True,False,False,False,2022-08-13
https://github.com/J535D165/recordlinkage-review,True,True,False,False,False,2022-08-13
https://github.com/nanoepics/pynta,True,True,False,False,False,2022-08-13
https://github.com/stan-dev/performance-tests-cmdstan,True,False,False,False,False,2022-08-13
https://github.com/stan-dev/posteriordb-python,True,True,False,False,False,2022-08-13
https://github.com/stan-dev/pystan-wheels,True,False,False,False,False,2022-08-13
https://github.com/stan-dev/stat_comp_benchmarks,True,True,False,False,False,2022-08-13
https://github.com/UtrechtUniversity/uucls,True,False,False,False,False,2022-08-13
https://github.com/UU-ComputerScience/shuffle,True,True,False,False,False,2022-08-13
https://github.com/UU-ComputerScience/uulib,True,True,False,False,False,2022-08-13
https://github.com/wouter-swierstra/hbral,True,True,False,False,False,2022-08-13
https://github.com/wouter-swierstra/predicate-transformers,True,False,False,False,False,2022-08-13
https://github.com/aldertzomer/FastDeMe,True,False,False,False,False,2022-08-13
https://github.com/asreview/automated-systematic-review-simulations,True,True,False,False,False,2022-08-13
https://github.com/gerb-ster/Curstis-VCO,True,False,False,False,False,2022-08-13
https://github.com/haddocking/binding-affinity-benchmark,True,True,False,False,False,2022-08-13
https://github.com/haddocking/prodigy-lig,True,True,False,True,False,2022-08-13
https://github.com/jbikker/advgrtmpl8,True,True,False,False,False,2022-08-13
https://github.com/stan-dev/perf-math,True,False,False,False,False,2022-08-13
https://github.com/UU-ComputerScience/uu-cco,True,True,False,False,False,2022-08-13
https://github.com/UUDigitalHumanitieslab/semantometrics-python,True,False,False,False,False,2022-08-13
https://github.com/UUDigitalHumanitieslab/timealign,True,True,False,False,False,2022-08-13
https://github.com/wouter-swierstra/Bird,True,False,False,False,False,2022-08-13
https://github.com/aldertzomer/cgmlst,True,True,False,False,False,2022-08-13
https://github.com/amices/shinymice,True,True,False,False,False,2022-08-13
https://github.com/asreview/asreview-datatools,True,True,True,True,False,2022-08-13
https://github.com/asreview/asreview-hyperopt,True,True,False,False,False,2022-08-13
https://github.com/asreview/paper-asreview,True,True,False,True,False,2022-08-13
https://github.com/cjvanlissa/bain,True,True,True,False,True,2022-08-13
https://github.com/CLARIAH/cattle,True,False,False,False,False,2022-08-13
https://github.com/davidcortesortuno/oommf_sk_number,True,True,False,True,False,2022-08-13
https://github.com/ekatrukha/CurveTrace,True,True,False,True,False,2022-08-13
https://github.com/franciscapessanha/Hand-pose-recognition,True,False,False,False,False,2022-08-13
https://github.com/georkap/hand_track_classification,True,True,False,False,False,2022-08-13
https://github.com/gerb-ster/Noise-Clock-Sample-and-Hold,True,False,False,False,False,2022-08-13
https://github.com/gerb-ster/WaveFolder,True,False,False,False,False,2022-08-13
https://github.com/gerkovink/R,True,True,False,False,False,2022-08-13
https://github.com/growthcharts/brokenstick,True,True,True,False,False,2022-08-13
https://github.com/jbikker/msx3d,True,True,False,False,False,2022-08-13
https://github.com/lauralwd/metagenomicspractical,True,True,False,False,False,2022-08-13
https://github.com/patrickfinke/mecs,True,True,False,False,False,2022-08-13
https://github.com/RELabUU/aqusa-core,True,False,False,False,False,2022-08-13
https://github.com/SanliFaez/MoreIsDifferent,True,True,False,False,False,2022-08-13
https://github.com/UtrechtUniversity/epos-msl,True,True,False,False,False,2022-08-13
https://github.com/UU-ComputerScience/uhc-util,True,True,False,False,False,2022-08-13
https://github.com/UUDigitalHumanitieslab/perfectextractor,True,True,True,False,False,2022-08-13
https://github.com/a-quei/simplenlg-zh,True,True,False,False,False,2022-08-13
https://github.com/aldertzomer/Microbial-Genomics-2021,True,True,False,True,False,2022-08-13
https://github.com/annalenalamprecht/Coffee-Partner-Lottery,True,True,False,False,False,2022-08-13
https://github.com/asreview/asreview-extension-vocab-extractor,True,True,False,False,False,2022-08-13
https://github.com/asreview/semantic-clusters,True,True,False,False,False,2022-08-13
https://github.com/CLARIAH/video-annotation-interoperability,True,False,False,False,False,2022-08-13
https://github.com/computationalgeography/lue,True,True,True,False,False,2022-08-13
https://github.com/daob/lavaan.survey,True,False,False,False,False,2022-08-13
https://github.com/ekatrukha/KymoResliceWide,True,True,False,True,False,2022-08-13
https://github.com/ekatrukha/PTU_Reader,True,True,False,False,False,2022-08-13
https://github.com/ekatrukha/radialitymap,True,True,False,True,False,2022-08-13
https://github.com/gerb-ster/CoronDS8-Clone,True,False,False,False,False,2022-08-13
https://github.com/gerb-ster/Curtis-Dual-VCA,True,False,False,False,False,2022-08-13
https://github.com/gerb-ster/Echo-Reverb,True,False,False,False,False,2022-08-13
https://github.com/gerb-ster/MiniMoog-VCF,True,False,False,False,False,2022-08-13
https://github.com/gerb-ster/MS20-VCF,True,False,False,False,False,2022-08-13
https://github.com/gerb-ster/Ronnberg-LFO,True,False,False,False,False,2022-08-13
https://github.com/gerb-ster/SCM-140-ADSR,True,False,False,False,False,2022-08-13
https://github.com/haddocking/DACUM,True,True,False,False,False,2022-08-13
https://github.com/haddocking/disvis,True,True,False,True,False,2022-08-13
https://github.com/haddocking/iSee,True,True,False,False,False,2022-08-13
https://github.com/haddocking/protein-peptide-docking_1CZY,True,False,False,False,False,2022-08-13
https://github.com/haddocking/shape-restrained-haddocking,True,True,False,False,False,2022-08-13
https://github.com/iv4xr-project/iv4xr-se-plugin,True,True,False,False,False,2022-08-13
https://github.com/J535D165/spellingsvarianten-van-nederlandse-plaatsnamen,True,False,False,False,False,2022-08-13
https://github.com/jbikker/AndroidTmpl8,True,False,False,False,False,2022-08-13
