html_url_repository,vcs_usage,life_span,first_commit_user,first_commit_date,repo_active,date
https://github.com/a-quei/bert-chinese-classifier,False,0,False,a-quei,2021-08-05,2022-09-20
https://github.com/a-quei/guanyi.cls,True,347,False,a-quei,2017-12-15,2022-09-20
https://github.com/a-quei/mtuna-annotated,False,0,False,a-quei,2020-10-24,2022-09-20
https://github.com/a-quei/neuralreg-re-evaluation,False,0,True,a-quei,2022-03-10,2022-09-20
https://github.com/a-quei/probe-neuralreg,False,0,False,a-quei,2021-08-05,2022-09-20
https://github.com/a-quei/qtuna,True,823,True,a-quei,2019-09-14,2022-09-20
https://github.com/a-quei/quantified-description-generation,True,447,False,a-quei,2019-09-14,2022-09-20
https://github.com/a-quei/simplenlg-zh,True,544,False,a-quei,2018-09-17,2022-09-20
https://github.com/AJueling/AMWG,True,48,False,AJueling,2020-03-14,2022-09-20
https://github.com/AJueling/CESM,True,892,False,AJueling,2018-10-03,2022-09-20
https://github.com/AJueling/EC-Earth3-data,True,182,True,AJueling,2021-06-03,2022-09-20
https://github.com/AJueling/FW-code,False,0,False,AJueling,2021-02-12,2022-09-20
https://github.com/AJueling/LEC,True,762,False,AJueling,2016-09-27,2022-09-20
https://github.com/AJueling/Marit_DSL_thesis,False,0,True,AJueling,2022-06-01,2022-09-20
https://github.com/AJueling/melt,True,352,False,AJueling,2020-09-08,2022-09-20
https://github.com/AJueling/MV-code,False,0,False,AJueling,2021-06-29,2022-09-20
https://github.com/AJueling/python_climate_physics,True,149,False,AJueling,2020-09-13,2022-09-20
https://github.com/AJueling/thesis-figures,False,0,True,AJueling,2021-09-22,2022-09-20
https://github.com/aldertzomer/cgmlst,True,174,False,,2019-05-08,2022-09-20
https://github.com/aldertzomer/essentials,True,2497,False,,2012-04-16,2022-09-20
https://github.com/aldertzomer/FastDeMe,True,463,False,SanderVermeulen,2018-12-05,2022-09-20
https://github.com/aldertzomer/Microbial-Genomics-2019,True,2097,False,gvwilson,2013-07-14,2022-09-20
https://github.com/aldertzomer/Microbial-Genomics-2021,True,3050,True,gvwilson,2013-07-14,2022-09-20
https://github.com/aldertzomer/ResistNanome,True,96,False,AStieva,2019-11-08,2022-09-20
https://github.com/aldertzomer/RFPlasmid,True,955,True,aldertzomer,2019-02-16,2022-09-20
https://github.com/aldertzomer/scripts,True,233,False,aldertzomer,2019-04-24,2022-09-20
https://github.com/aldertzomer/vibrio_parahaemolyticus_genomoserotyping,True,355,True,aldertzomer,2021-06-30,2022-09-20
https://github.com/amices/callmice,False,0,False,stefvanbuuren,2018-11-12,2022-09-20
https://github.com/amices/dsMice,True,631,False,stefvanbuuren,2018-11-30,2022-09-20
https://github.com/amices/dsMiceClient,True,209,False,stefvanbuuren,2018-11-28,2022-09-20
https://github.com/amices/ggmice,True,149,True,hanneoberman,2022-02-11,2022-09-20
https://github.com/amices/mice,True,3467,True,stefvanbuuren,2013-03-20,2022-09-20
https://github.com/amices/mice3paper,False,0,False,stefvanbuuren,2019-05-20,2022-09-20
https://github.com/amices/MiceLearnr,True,1,False,gerkovink,2020-09-03,2022-09-20
https://github.com/amices/shinymice,True,836,True,gerkovink,2019-09-02,2022-09-20
https://github.com/amices/Synthemice,True,510,True,gerkovink,2020-06-11,2022-09-20
https://github.com/amices/Winnipeg,True,1166,False,stefvanbuuren,2017-06-09,2022-09-20
https://github.com/anastasiaGiachanou/google_semantic_location,True,70,True,anastasiaGiachanou,2021-12-16,2022-09-20
https://github.com/anastasiaGiachanou/Processing-Instagram-Packages,True,56,False,,2021-07-02,2022-09-20
