html_url_repository,language,num_chars
https://github.com/RELabUU/Interactive-Narrator,CSS,71495
https://github.com/RELabUU/Interactive-Narrator,HTML,71263
https://github.com/RELabUU/Interactive-Narrator,Python,61835
https://github.com/RELabUU/VisualNarrator,Python,81490
https://github.com/RELabUU/VisualNarrator,HTML,13277
https://github.com/RELabUU/VisualNarrator,Dockerfile,620
https://github.com/RELabUU/BakeRE,JavaScript,2644526
https://github.com/RELabUU/BakeRE,C#,23315
https://github.com/RELabUU/BakeRE,Objective-C,22575
https://github.com/RELabUU/BakeRE,Java,21536
https://github.com/RELabUU/BakeRE,PHP,5261
https://github.com/RELabUU/BakeRE,CSS,2839
https://github.com/RELabUU/BakeRE,HTML,2042
https://github.com/RELabUU/BakeRE,TypeScript,1618
https://github.com/RELabUU/visual-narrator-adapted-for-revv,HTML,16374459
https://github.com/RELabUU/visual-narrator-adapted-for-revv,Python,76573
https://github.com/RELabUU/visual-narrator-adapted-for-revv,JavaScript,54532
https://github.com/RELabUU/RE-SWOT,R,14094
https://github.com/RELabUU/Requirements-Synthesizer,Python,12733
https://github.com/RELabUU/icva-experiments,Python,5211
https://github.com/RELabUU/revv,HTML,7011999
https://github.com/RELabUU/revv,JavaScript,165409
https://github.com/RELabUU/revv,PHP,87628
https://github.com/RELabUU/revv,CSS,33472
https://github.com/RELabUU/concept-suggestor,TeX,50741
https://github.com/RELabUU/concept-suggestor,Python,38777
https://github.com/gerkovink/miceVignettes,HTML,36691732
https://github.com/gerkovink/R,HTML,225867392
https://github.com/gerkovink/R,R,3753
https://github.com/gerkovink/Prediction_ADS,HTML,2138931
https://github.com/gerkovink/Pooling_MI,R,24058
https://github.com/gerkovink/Synthetic_ADS,HTML,2989486
https://github.com/gerkovink/Synthetic_ADS,R,12765
https://github.com/gerkovink/markup2020,HTML,44009240
https://github.com/gerkovink/markup2020,CSS,43121
https://github.com/gerkovink/markup2020,TeX,32522
https://github.com/gerkovink/markup2020,JavaScript,28336
https://github.com/gerkovink/markup2020,R,7270
https://github.com/gerkovink/Markup-Programming,HTML,46886043
https://github.com/gerkovink/Markup-Programming,TeX,931113
https://github.com/gerkovink/Markup-Programming,R,28513
https://github.com/gerkovink/Markup-Programming,PostScript,15555
https://github.com/gerkovink/Markup-Programming,Makefile,1318
https://github.com/gerkovink/NotApplicable_ADS,HTML,1107759
https://github.com/gerkovink/JOS_Unit-nonresponse_and_Inference,R,58604
https://github.com/gerkovink/Anova,HTML,4409239
https://github.com/gerkovink/Anova,R,10929
https://github.com/gerkovink/London2019,HTML,1298828
https://github.com/gerkovink/London2019,TeX,17491
https://github.com/gerkovink/markup,HTML,81778854
https://github.com/gerkovink/markup,TeX,1426102
https://github.com/gerkovink/markup,R,56355
https://github.com/gerkovink/markup,PostScript,31110
https://github.com/gerkovink/markup,Rich Text Format,7866
https://github.com/gerkovink/markup,Makefile,3954
https://github.com/gerkovink/markup,Rebol,9
https://github.com/gerkovink/quickR,HTML,30301651
https://github.com/gerkovink/quickmice,HTML,4034264
https://github.com/gerkovink/parlMICE,HTML,855723
https://github.com/gerkovink/parlMICE,R,12183
https://github.com/gerkovink/gerkovinkcom,HTML,9081947
https://github.com/gerkovink/gerkovinkcom,Shell,419
https://github.com/gerkovink/fundamentals,HTML,90599183
https://github.com/gerkovink/fundamentals,PostScript,4408
https://github.com/gerkovink/fundamentals,R,1680
https://github.com/gerkovink/Padova,HTML,4210677
https://github.com/gerkovink/rijkR,HTML,33422429
https://github.com/hanneoberman/MLRP,HTML,2009606
https://github.com/hanneoberman/MLRP,R,4836
https://github.com/hanneoberman/svy,HTML,2453726
https://github.com/hanneoberman/CV,TeX,29600
https://github.com/hanneoberman/MissingThePoint,TeX,145738
https://github.com/hanneoberman/MissingThePoint,R,17004
https://github.com/hanneoberman/MIMP,HTML,684465
https://github.com/hanneoberman/MIMP,R,30530
https://github.com/hanneoberman/meta-equi,HTML,724038
https://github.com/zievathustra/uu-rdms-ris-pure-sync,TSQL,134593
https://github.com/zievathustra/uu-rdms-ris-pure-sync,C#,1708
https://github.com/zievathustra/uu-rdms-excel,VBA,1343
https://github.com/zievathustra/uu-rdms-harvest,Python,29341
https://github.com/UUDigitalHumanitieslab/texcavator,JavaScript,176106
https://github.com/UUDigitalHumanitieslab/texcavator,Python,170002
https://github.com/UUDigitalHumanitieslab/texcavator,HTML,21827
https://github.com/UUDigitalHumanitieslab/texcavator,CSS,3099
https://github.com/UUDigitalHumanitieslab/tei_reader,Python,20800
https://github.com/UUDigitalHumanitieslab/tei_reader,XSLT,6863
https://github.com/UUDigitalHumanitieslab/semantometrics-python,Python,9377
https://github.com/UUDigitalHumanitieslab/timealign,Python,370661
https://github.com/UUDigitalHumanitieslab/timealign,HTML,154355
https://github.com/UUDigitalHumanitieslab/timealign,JavaScript,17478
https://github.com/UUDigitalHumanitieslab/timealign,CSS,4412
https://github.com/UUDigitalHumanitieslab/timealign,XSLT,2171
https://github.com/UUDigitalHumanitieslab/handlebars-i18next,JavaScript,1330
https://github.com/UUDigitalHumanitieslab/gretel,TypeScript,286259
https://github.com/UUDigitalHumanitieslab/gretel,HTML,80931
https://github.com/UUDigitalHumanitieslab/gretel,PHP,68610
https://github.com/UUDigitalHumanitieslab/gretel,SCSS,33721
https://github.com/UUDigitalHumanitieslab/gretel,JavaScript,23350
https://github.com/UUDigitalHumanitieslab/gretel,Perl,15896
https://github.com/UUDigitalHumanitieslab/gretel,CSS,870
https://github.com/UUDigitalHumanitieslab/perfectextractor,Python,134346
https://github.com/UUDigitalHumanitieslab/perfectextractor,Shell,66
https://github.com/UUDigitalHumanitieslab/corpus-scraper,JavaScript,14664
https://github.com/UUDigitalHumanitieslab/cfh-lectures,PHP,22945
https://github.com/UUDigitalHumanitieslab/cfh-lectures,CSS,1941
https://github.com/UUDigitalHumanitieslab/theaterdramaturgiebank,PHP,68404
https://github.com/UUDigitalHumanitieslab/theaterdramaturgiebank,CSS,11948
https://github.com/UUDigitalHumanitieslab/theaterdramaturgiebank,JavaScript,603
https://github.com/UUDigitalHumanitieslab/GrETEL-upload,PHP,2276349
https://github.com/UUDigitalHumanitieslab/GrETEL-upload,Roff,376813
https://github.com/UUDigitalHumanitieslab/GrETEL-upload,HTML,5633
https://github.com/UUDigitalHumanitieslab/GrETEL-upload,CSS,2250
https://github.com/UUDigitalHumanitieslab/GrETEL-upload,Shell,1222
https://github.com/UUDigitalHumanitieslab/GrETEL-upload,JavaScript,568
https://github.com/UUDigitalHumanitieslab/youtube-comment-collector,Python,3462
https://github.com/UUDigitalHumanitieslab/corpus2alpino,Python,66107
https://github.com/UUDigitalHumanitieslab/daycare-ethics,JavaScript,246948
https://github.com/UUDigitalHumanitieslab/daycare-ethics,Python,84185
https://github.com/UUDigitalHumanitieslab/daycare-ethics,HTML,16089
https://github.com/UUDigitalHumanitieslab/daycare-ethics,CSS,6182
https://github.com/UUDigitalHumanitieslab/historic-hebrew-dates,Python,62792
https://github.com/UUDigitalHumanitieslab/historic-hebrew-dates,TypeScript,21269
https://github.com/UUDigitalHumanitieslab/historic-hebrew-dates,HTML,5592
https://github.com/UUDigitalHumanitieslab/historic-hebrew-dates,JavaScript,1517
https://github.com/UUDigitalHumanitieslab/historic-hebrew-dates,CSS,1395
https://github.com/UUDigitalHumanitieslab/historic-hebrew-dates,Shell,477
https://github.com/UUDigitalHumanitieslab/issues-exporter,Python,777
https://github.com/UUDigitalHumanitieslab/filter-components,TypeScript,17469
https://github.com/UUDigitalHumanitieslab/filter-components,HTML,3946
https://github.com/UUDigitalHumanitieslab/filter-components,JavaScript,1645
https://github.com/UUDigitalHumanitieslab/filter-components,CSS,254
https://github.com/UUDigitalHumanitieslab/angular-karma-ng-google-maps-testcase,JavaScript,847
https://github.com/UUDigitalHumanitieslab/panel-randomizer,Python,28420
https://github.com/UUDigitalHumanitieslab/panel-randomizer,HTML,15259
https://github.com/UUDigitalHumanitieslab/panel-randomizer,JavaScript,14822
https://github.com/UUDigitalHumanitieslab/panel-randomizer,CSS,802
https://github.com/UUDigitalHumanitieslab/shico-scripts,Python,1483
https://github.com/UUDigitalHumanitieslab/HistoLexic,JavaScript,2494
https://github.com/UUDigitalHumanitieslab/HistoLexic,Python,2136
https://github.com/UUDigitalHumanitieslab/HistoLexic,HTML,1148
https://github.com/UUDigitalHumanitieslab/chamd,Python,46539
https://github.com/UUDigitalHumanitieslab/khatt,TypeScript,110965
https://github.com/UUDigitalHumanitieslab/khatt,Python,48932
https://github.com/UUDigitalHumanitieslab/khatt,HTML,30644
https://github.com/UUDigitalHumanitieslab/khatt,CSS,7968
https://github.com/UUDigitalHumanitieslab/khatt,JavaScript,2515
https://github.com/UUDigitalHumanitieslab/khatt,Dockerfile,953
https://github.com/UUDigitalHumanitieslab/khatt,Shell,263
https://github.com/UUDigitalHumanitieslab/wisselwerking,Python,4684
