paperswithcode_link,github_user_url
https://paperswithcode.com/paper/contrastive-explanations-with-local-foil, github.com/MarcelRobeer/
https://paperswithcode.com/paper/contrastive-explanations-with-local-foil, https://github.com/YevgenyW/
https://paperswithcode.com/paper/deduce-a-pattern-matching-method-for, https://github.com/vmenger/
https://physics.paperswithcode.com/paper/communities-in-networks, https://github.com/JoostGadellaa/
